ACCESSION: NGA00928
RECORD_TITLE: 3-Hydroxy-12-ursen-28-oic acid; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+Na]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Triterpenoids
CH$NAME: 3-Hydroxy-12-ursen-28-oic acid
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C30H48O3
CH$EXACT_MASS: 456.7153
CH$SMILES: C[C@@H]1C2C3=CC[C@@H]4[C@@]5(C)CCC(O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CCC2(C(=O)O)CC[C@H]1C
CH$IUPAC: InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21+,22-,23?,24?,27+,28-,29-,30?/m1/s1
CH$LINK: CAS 77-52-1
CH$LINK: CHEMSPIDER 58472
CH$LINK: INCHIKEY WCGUUGGRBIKTOS-MUVOVJNASA-N
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
PK$SPLASH: splash10-004r-4889880000-f7c8891e237b8b46088a
PK$NUM_PEAK: 3788
PK$PEAK: m/z int. rel.int.
  136.7 10.7 10
  136.8 12.77 12
  136.9 12.35 12
  137.0 9.37 9
  137.2 6.25 6
  137.3 9.37 9
  137.4 13.26 13
  137.5 14.29 14
  137.6 11.45 11
  138.5 6.83 6
  138.6 9.16 9
  138.7 11.87 11
  138.8 13.33 13
  138.9 11.94 11
  139.1 6.48 6
  139.2 8.93 8
  139.3 14.09 14
  139.4 17.27 17
  139.5 15.58 15
  139.6 10.43 10
  139.8 6.03 6
  139.9 10.95 10
  140.0 17.06 17
  140.1 19.17 19
  140.2 15.43 15
  140.3 9.25 9
  140.5 8.44 8
  140.6 13.47 13
  140.7 16.18 16
  140.8 13.92 13
  140.9 8.96 8
  141.1 6.69 6
  141.2 10.38 10
  141.3 13.48 13
  141.4 13.12 13
  141.5 9.19 9
  141.7 4.35 4
  141.8 8.15 8
  141.9 13.08 13
  142.0 14.87 14
  142.1 12.14 12
  142.3 7.17 7
  142.4 11.39 11
  142.5 16.79 16
  142.6 17.75 17
  142.7 12.86 12
  143.0 6.32 6
  143.1 11.89 11
  143.2 15.87 15
  143.3 15.23 15
  143.4 10.7 10
  143.6 5.56 5
  143.7 8.7 8
  143.8 12.59 12
  143.9 13.78 13
  144.0 11.21 11
  144.3 6.66 6
  144.4 11.58 11
  144.5 15.48 15
  144.6 15.01 14
  144.7 10.88 10
  144.9 7.59 7
  145.0 12.2 12
  145.1 17.76 17
  145.2 20.02 19
  145.3 16.77 16
  145.4 9.82 9
  145.6 4.11 4
  145.7 9.07 9
  145.8 14.14 14
  145.9 14.59 14
  146.0 10.51 10
  146.2 6.16 6
  146.3 10.59 10
  146.4 16.21 16
  146.5 19.04 19
  146.6 17.5 17
  146.7 13.43 13
  147.4 5.38 5
  147.5 9.22 9
  147.6 15.78 15
  147.7 19.41 19
  147.8 17.09 17
  147.9 11.1 11
  148.1 6.93 6
  148.2 11.91 11
  148.3 17.75 17
  148.4 20.48 20
  148.5 19.16 19
  148.6 16.05 16
  149.4 9.05 9
  149.5 12.4 12
  149.6 16.53 16
  149.7 17.36 17
  149.8 13.84 13
  150.0 9.27 9
  150.1 13.08 13
  150.2 17.11 17
  150.3 16.83 16
  150.4 11.45 11
  150.7 5.05 5
  150.8 13.09 13
  150.9 19.68 19
  151.0 19.79 19
  151.1 14.04 14
  151.9 10.89 10
  152.0 12.87 12
  152.1 15.33 15
  152.2 15.79 15
  152.3 13.16 13
  152.4 8.77 8
  152.6 5.48 5
  152.7 8.66 8
  152.8 12.45 12
  152.9 13.19 13
  153.0 10.0 9
  153.2 7.12 7
  153.3 12.74 12
  153.4 18.27 18
  153.5 18.28 18
  153.6 12.25 12
  153.9 6.11 6
  154.0 13.41 13
  154.1 18.35 18
  154.2 17.44 17
